District,State,Total,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&under,YearSpan,Year,state_id
Pacific,AK,"8,743","3,693",409,535,706,734,758,813,"1,095",23-24,2024,01
Pacific,AK,"8,503","3,633",389,540,649,734,732,768,"1,058",22-23,2023,01
Pacific,AK,"8,130","3,302",393,534,626,730,717,751,"1,077",21-22,2022,01
Pacific,AK,6753,2403,330,530,634,669,684,655,848,20-21,2021,01
Pacific,AK,8540,3988,309,522,620,668,715,700,1018,19-20,2020,01
Pacific,AK,"8,609","4,072",316,489,627,688,700,750,967,18-19,2019,01
Pacific,AK,"8,664","4,117",293,458,641,712,692,778,973,17-18,2018,01
Pacific,AK,"8,793","4,150",305,446,625,698,735,773,"1,061",16-17,2017,01
Pacific,AK,"8,755","4,083",320,422,577,707,738,762,"1,146",15-16,2016,01
Pacific,AK,"8,788","4,220",333,460,578,671,715,716,"1,095",14-15,2015,01
Pacific,AK,"8,469","4,145",336,449,545,660,689,680,965,13-14,2014,01
Pacific,AK,"8,454","4,100",362,444,611,652,690,663,932,13-Dec,2013,01
Pacific,AK,"8,616","4,155",362,492,601,652,737,722,895,12-Nov,2012,01
Pacific,AK,"8,640","4,156",367,526,618,694,707,675,897,11-Oct,2011,01
Pacific,AK,"8,477","3,979",382,513,711,701,687,670,834,10-Sep,2010,01
Pacific,AK,"8,350","3,798",347,591,721,714,728,668,783,9-Aug,2009,01
Pacific,AK,"8,215",3796,383,580,714,760,693,595,694,8-Jul,2008,01
Pacific,AK,"8,310",3664,398,551,793,801,722,656,725,7-Jun,2007,01
Southeastern,AL,"2,161",944,72,111,170,208,206,221,229,23-24,2024,02
Southeastern,AL,"2,120",900,46,109,151,215,228,220,251,22-23,2023,02
Southeastern,AL,"2,080",894,66,98,152,194,212,198,266,21-22,2022,02
Southeastern,AL,1715,702,56,92,126,165,205,174,195,20-21,2021,02
Southeastern,AL,2164,889,72,118,141,187,230,236,291,19-20,2020,02
Southeastern,AL,"2,140",853,71,106,132,178,232,258,310,18-19,2019,02
Southeastern,AL,"2,043",780,44,104,139,165,228,267,316,17-18,2018,02
Southeastern,AL,"1,793",699,60,81,132,154,181,232,254,16-17,2017,02
Southeastern,AL,"1,564",652,58,78,112,160,156,164,184,15-16,2016,02
Southeastern,AL,"1,497",641,55,85,94,154,159,137,172,14-15,2015,02
Southeastern,AL,"1,236",508,48,83,96,118,141,111,131,13-14,2014,02
Southeastern,AL,"1,203",479,52,74,107,125,133,120,113,13-Dec,2013,02
Southeastern,AL,"1,419",452,87,132,153,170,120,157,148,12-Nov,2012,02
Southeastern,AL,"1,272",425,84,87,118,147,136,131,144,11-Oct,2011,02
Southeastern,AL,"1,114",354,63,95,109,136,121,94,142,10-Sep,2010,02
Southeastern,AL,"1,020",300,83,88,114,129,129,103,74,9-Aug,2009,02
Southeastern,AL,"1,090",347,64,85,104,126,146,122,96,8-Jul,2008,02
Southeastern,AL,974,271,56,101,104,120,133,108,81,7-Jun,2007,02
Southeastern,AR,398,50,16,23,56,52,86,69,46,23-24,2024,05
Southeastern,AR,415,83,11,24,38,65,74,79,41,22-23,2023,05
Southeastern,AR,366,57,14,23,31,63,65,66,47,21-22,2022,05
Southeastern,AR,294,52,14,19,32,33,56,49,39,20-21,2021,05
Southeastern,AR,303,51,18,17,30,30,61,44,52,19-20,2020,05
Southeastern,AR,347,93,11,26,19,42,50,47,59,18-19,2019,05
Southeastern,AR,385,140,11,27,31,36,36,55,49,17-18,2018,05
Southeastern,AR,437,185,14,30,31,24,39,50,64,16-17,2017,05
Southeastern,AR,421,234,16,27,32,36,25,23,28,15-16,2016,05
Southeastern,AR,404,219,11,19,32,28,34,31,30,14-15,2015,05
Southeastern,AR,359,184,14,14,32,36,26,25,28,13-14,2014,05
Southeastern,AR,317,133,13,18,20,40,32,29,32,13-Dec,2013,05
Southeastern,AR,281,107,17,15,19,38,38,24,23,12-Nov,2012,05
Southeastern,AR,277,93,14,16,20,24,41,38,31,11-Oct,2011,05
Southeastern,AR,216,59,19,22,17,23,35,20,21,10-Sep,2010,05
Southeastern,AR,176,31,16,19,18,24,19,24,25,9-Aug,2009,05
Southeastern,AR,182,26,15,22,20,23,18,35,23,8-Jul,2008,05
Southeastern,AR,211,29,2,,15,,27,,26,7-Jun,2007,05
Rocky Mountain,AZ,"9,524","4,896",472,653,725,805,774,735,464,23-24,2024,04
Rocky Mountain,AZ,"9,716","4,884",469,683,677,770,879,795,559,22-23,2023,04
Rocky Mountain,AZ,"9,232","4,500",442,641,716,736,870,769,558,21-22,2022,04
Rocky Mountain,AZ,7480,3653,385,593,668,623,665,529,364,20-21,2021,04
Rocky Mountain,AZ,8803,4186,408,575,670,718,804,804,638,19-20,2020,04
Rocky Mountain,AZ,"8,983","4,286",420,546,673,725,775,821,737,18-19,2019,04
Rocky Mountain,AZ,"8,617","4,098",390,532,625,669,714,762,827,17-18,2018,04
Rocky Mountain,AZ,"7,781","3,907",348,536,564,630,644,548,604,16-17,2017,04
Rocky Mountain,AZ,"7,510","3,707",394,500,573,605,610,501,620,15-16,2016,04
Rocky Mountain,AZ,"7,329","3,714",390,461,563,540,560,505,596,14-15,2015,04
Rocky Mountain,AZ,"4,860","2,332",331,415,420,436,413,286,227,13-14,2014,04
Rocky Mountain,AZ,"4,125","1,717",281,431,385,434,387,274,216,13-Dec,2013,04
Rocky Mountain,AZ,"4,113","1,717",321,408,391,384,380,285,227,12-Nov,2012,04
Rocky Mountain,AZ,"3,649","1,501",312,389,411,322,323,238,153,11-Oct,2011,04
Rocky Mountain,AZ,"3,339","1,200",347,438,396,307,283,209,159,10-Sep,2010,04
Rocky Mountain,AZ,"4,001","1,449",377,470,419,380,330,272,304,9-Aug,2009,04
Rocky Mountain,AZ,"4,039",1462,364,547,459,439,324,290,154,8-Jul,2008,04
Rocky Mountain,AZ,"3,927",1385,373,556,470,373,346,271,153,7-Jun,2007,04
Pacific,CA,"32,201","17,146","1,313","1,898","2,213","2,397","2,661","2,599","1,974",23-24,2024,06
Pacific,CA,"30,702","16,678","1,211","1,856","2,162","2,428","2,421","2,294","1,652",22-23,2023,06
Pacific,CA,"28,167","15,438","1,187","1,742","2,118","2,235","2,409","1,898","1,140",21-22,2022,06
Pacific,CA,12054,3818,933,1448,1664,1599,1368,845,379,20-21,2021,06
Pacific,CA,32823,17079,1210,1772,2280,2631,2884,2904,2063,19-20,2020,06
Pacific,CA,"32,696","17,228","1,230","1,765","2,144","2,625","2,844","2,778","2,082",18-19,2019,06
Pacific,CA,"31,690","16,804","1,240","1,699","2,021","2,426","2,669","2,725","2,106",17-18,2018,06
Pacific,CA,"29,849","16,818","1,199","1,743","2,018","2,129","2,382","2,096","1,464",16-17,2017,06
Pacific,CA,"28,296","16,616","1,171","1,700","1,854","2,008","2,070","1,752","1,125",15-16,2016,06
Pacific,CA,"26,383","15,400","1,107","1,594","1,864","1,929","1,829","1,625","1,035",14-15,2015,06
Pacific,CA,"25,288","15,319","1,068","1,533","1,766","1,733","1,650","1,321",898,13-14,2014,06
Pacific,CA,"24,126","14,617","1,087","1,388","1,649","1,729","1,525","1,257",874,13-Dec,2013,06
Pacific,CA,"24,101","14,804","1,092","1,375","1,609","1,699","1,489","1,241",792,12-Nov,2012,06
Pacific,CA,"22,305","13,501","1,130","1,410","1,474","1,535","1,485","1,067",703,11-Oct,2011,06
Pacific,CA,"20,404","12,310","1,149","1,314","1,380","1,413","1,297",945,596,10-Sep,2010,06
Pacific,CA,"20,380","12,158","1,099","1,345","1,491","1,405","1,293","1,025",564,9-Aug,2009,06
Pacific,CA,"21,167",12437,"1,132","1,430","1,557","1,520","1,383","1,070",638,8-Jul,2008,06
Pacific,CA,"19,660",10971,"1,083","1,480","1,661","1,548","1,327","1,016",574,7-Jun,2007,06
Rocky Mountain,CO,"17,902","5,729","1,023","1,540","1,815","1,984","2,157","2,171","1,483",23-24,2024,08
Rocky Mountain,CO,"17,164","5,400",968,"1,539","1,734","1,882","2,067","2,054","1,520",22-23,2023,08
Rocky Mountain,CO,"15,547","4,759",928,"1,420","1,638","1,814","1,897","1,729","1,362",21-22,2022,08
Rocky Mountain,CO,12732,3245,943,1337,1659,1641,1620,1330,957,20-21,2021,08
Rocky Mountain,CO,15347,5260,913,1349,1546,1705,1783,1612,1179,19-20,2020,08
Rocky Mountain,CO,"15,641","5,393",911,"1,374","1,505","1,758","1,813","1,690","1,197",18-19,2019,08
Rocky Mountain,CO,"15,222","5,001",881,"1,391","1,548","1,635","1,761","1,707","1,298",17-18,2018,08
Rocky Mountain,CO,"14,181","4,517",844,"1,327","1,574","1,548","1,576","1,582","1,213",16-17,2017,08
Rocky Mountain,CO,"13,777","4,597",940,"1,243","1,574","1,641","1,527","1,374",881,15-16,2016,08
Rocky Mountain,CO,"13,652","4,692",960,"1,244","1,507","1,569","1,428","1,354",898,14-15,2015,08
Rocky Mountain,CO,"13,570","4,714",964,"1,309","1,405","1,513","1,481","1,268",916,13-14,2014,08
Rocky Mountain,CO,"13,322","4,477",944,"1,358","1,429","1,496","1,468","1,229",921,13-Dec,2013,08
Rocky Mountain,CO,"14,474","5,443","1,012","1,371","1,512","1,471","1,417","1,356",892,12-Nov,2012,08
Rocky Mountain,CO,"14,294","5,309","1,010","1,420","1,560","1,443","1,393","1,248",911,11-Oct,2011,08
Rocky Mountain,CO,"13,437","4,559","1,097","1,464","1,580","1,504","1,264","1,125",844,10-Sep,2010,08
Rocky Mountain,CO,"13,439","4,326","1,065","1,521","1,655","1,571","1,317","1,116",868,9-Aug,2009,08
Rocky Mountain,CO,"14,355",4931,"1,061","1,568","1,720","1,635","1,425","1,176",839,8-Jul,2008,08
Rocky Mountain,CO,"13,756",4310,977,"1,569","1,774","1,700","1,501","1,148",777,7-Jun,2007,08
New England,CT,"11,954","1,356",825,"1,379","1,651","1,732","1,733","1,647","1,631",23-24,2024,09
New England,CT,"12,887","1,527",914,"1,388","1,715","1,732","1,875","1,854","1,882",22-23,2023,09
New England,CT,"12,729","1,431",893,"1,385","1,724","1,772","1,845","1,804","1,875",21-22,2022,09
New England,CT,11056,899,823,1395,1714,1769,1652,1465,1339,20-21,2021,09
New England,CT,13139,1782,838,1411,1781,1897,1824,1743,1863,19-20,2020,09
New England,CT,"13,118","1,763",779,"1,371","1,849","1,928","1,911","1,631","1,886",18-19,2019,09
New England,CT,"13,004","1,760",780,"1,313","1,878","1,984","1,923","1,630","1,736",17-18,2018,09
New England,CT,"13,026","1,826",825,"1,295","1,844","2,025","1,948","1,688","1,575",16-17,2017,09
New England,CT,"13,175","1,900",800,"1,254","1,765","2,073","2,000","1,753","1,630",15-16,2016,09
New England,CT,"13,414","2,063",830,"1,212","1,760","1,988","2,011","1,803","1,747",14-15,2015,09
New England,CT,"13,275","1,994",800,"1,200","1,709","1,940","2,064","1,759","1,809",13-14,2014,09
New England,CT,"13,325","1,995",820,"1,222","1,695","1,935","2,000","1,885","1,773",13-Dec,2013,09
New England,CT,"13,344","1,994",714,"1,191","1,708","2,000","1,913","1,950","1,874",12-Nov,2012,09
New England,CT,"12,380","1,480",700,"1,166","1,737","1,916","1,850","1,738","1,793",11-Oct,2011,09
New England,CT,"12,088","1,398",748,"1,166","1,737","1,900","1,870","1,638","1,631",10-Sep,2010,09
New England,CT,"11,736","1,215",717,"1,143","1,714","1,995","1,812","1,600","1,540",9-Aug,2009,09
New England,CT,"11,676",1150,644,"1,207","1,767","2,041","1,897","1,639","1,331",8-Jul,2008,09
New England,CT,"12,131",1558,523,"1,118","1,744","2,005","1,962","1,715","1,506",7-Jun,2007,09
Southeastern,DC,"1,201",562,34,59,116,119,117,116,78,23-24,2024,11
Southeastern,DC,"1,241",616,42,67,120,113,108,104,71,22-23,2023,11
Southeastern,DC,"1,295",608,45,59,98,127,119,92,147,21-22,2022,11
Southeastern,DC,860,351,26,74,83,112,87,81,46,20-21,2021,11
Southeastern,DC,1344,634,30,63,89,114,151,124,139,19-20,2020,11
Southeastern,DC,"1,484",683,53,50,96,114,153,121,214,18-19,2019,11
Southeastern,DC,"1,362",647,29,56,87,104,118,157,164,17-18,2018,11
Southeastern,DC,"1,274",610,29,59,77,104,100,143,152,16-17,2017,11
Southeastern,DC,"1,159",615,27,41,83,103,104,86,100,15-16,2016,11
Southeastern,DC,"1,117",640,29,36,82,102,103,82,43,14-15,2015,11
Southeastern,DC,"1,113",641,35,40,55,100,101,96,45,13-14,2014,11
Southeastern,DC,"1,000",559,33,35,49,90,89,94,51,13-Dec,2013,11
Southeastern,DC,899,481,35,25,48,84,87,83,56,12-Nov,2012,11
Southeastern,DC,805,441,29,44,44,51,85,68,43,11-Oct,2011,11
Southeastern,DC,742,402,36,42,52,50,69,52,39,10-Sep,2010,11
Southeastern,DC,658,350,30,40,58,46,59,51,24,9-Aug,2009,11
Southeastern,DC,604,334,20,37,56,61,38,40,18,8-Jul,2008,11
Southeastern,DC,561,297,26,23,49,57,48,47,14,7-Jun,2007,11
Atlantic,DE,915,280,69,95,131,106,105,94,35,23-24,2024,10
Atlantic,DE,933,278,67,103,110,127,105,91,52,22-23,2023,10
Atlantic,DE,947,317,76,97,100,122,94,83,58,21-22,2022,10
Atlantic,DE,796,180,76,98,99,108,112,80,43,20-21,2021,10
Atlantic,DE,954,315,78,97,106,103,130,82,43,19-20,2020,10
Atlantic,DE,998,337,81,111,92,100,121,103,53,18-19,2019,10
Atlantic,DE,"1,036",313,102,113,107,101,105,120,75,17-18,2018,10
Atlantic,DE,993,312,97,111,128,97,87,90,71,16-17,2017,10
Atlantic,DE,949,330,81,120,118,113,85,67,35,15-16,2016,10
Atlantic,DE,962,329,113,113,119,110,81,64,33,14-15,2015,10
Atlantic,DE,915,314,103,109,118,104,82,53,32,13-14,2014,10
Atlantic,DE,913,339,95,116,102,96,85,59,21,13-Dec,2013,10
Atlantic,DE,"1,074",369,135,150,110,115,100,72,23,12-Nov,2012,10
Atlantic,DE,"1,216",588,135,129,110,89,73,62,30,11-Oct,2011,10
Atlantic,DE,"1,049",401,128,134,124,95,83,52,32,10-Sep,2010,10
Atlantic,DE,"1,094",423,138,157,115,107,80,52,22,9-Aug,2009,10
Atlantic,DE,"1,116",461,116,166,126,102,70,57,18,8-Jul,2008,10
Atlantic,DE,"1,040",418,94,162,123,94,84,50,15,7-Jun,2007,10
Atlantic,E PA,"15,276","5,726","1,308","1,706","1,765","1,579","1,456","1,129",607,23-24,2024,42
Atlantic,E PA,"15,859","5,933","1,377","1,721","1,798","1,683","1,499","1,231",617,22-23,2023,42
Atlantic,E PA,"16,125","6,196","1,295","1,730","1,770","1,699","1,505","1,194",736,21-22,2022,42
Atlantic,E PA,14086,4510,1268,1666,1687,1675,1534,1134,612,20-21,2021,42
Atlantic,E PA,16495,5995,1334,1804,1856,1723,1674,1271,838,19-20,2020,42
Atlantic,E PA,"17,357","6,406","1,422","1,782","1,839","1,751","1,700","1,442","1,015",18-19,2019,42
Atlantic,E PA,"17,319","6,235","1,428","1,798","1,921","1,842","1,635","1,442","1,018",17-18,2018,42
Atlantic,E PA,"17,365","6,618","1,487","1,886","1,873","1,835","1,503","1,258",905,16-17,2017,42
Atlantic,E PA,"16,930","6,522","1,553","1,834","1,897","1,881","1,573","1,102",568,15-16,2016,42
Atlantic,E PA,"17,133","6,737","1,522","1,839","1,950","1,813","1,561","1,102",609,14-15,2015,42
Atlantic,E PA,"17,667","6,720","1,532","1,888","1,944","1,906","1,636","1,240",801,13-14,2014,42
Atlantic,E PA,"17,254","6,815","1,612","1,902","1,819","1,916","1,493","1,105",592,13-Dec,2013,42
Atlantic,E PA,"17,285","6,664","1,622","1,924","1,875","1,905","1,515","1,165",615,12-Nov,2012,42
Atlantic,E PA,"17,424","6,887","1,788","2,043","1,893","1,665","1,496","1,001",651,11-Oct,2011,42
Atlantic,E PA,"16,683","6,369","1,765","2,121","1,959","1,623","1,378",944,524,10-Sep,2010,42
Atlantic,E PA,"15,925","3,717","1,347","2,099","2,434","2,296","1,947","1,416",669,9-Aug,2009,42
Atlantic,E PA,"15,651",4459,"1,876","2,418","2,343","1,831","1,410",917,397,8-Jul,2008,42
Atlantic,E PA,"15,503",3926,"1,948","2,495","2,369","1,953","1,488",947,377,7-Jun,2007,42
Southeastern,FL,"21,199","11,709",806,"1,215","1,530","1,571","1,761","1,637",970,23-24,2024,12
Southeastern,FL,"19,550","10,781",726,"1,183","1,334","1,524","1,616","1,444",942,22-23,2023,12
Southeastern,FL,"18,725","10,346",673,"1,094","1,231","1,448","1,606","1,345",982,21-22,2022,12
Southeastern,FL,15587,8805,591,963,1143,1217,1270,942,656,20-21,2021,12
Southeastern,FL,16956,9482,639,912,1155,1162,1423,1228,955,19-20,2020,12
Southeastern,FL,"15,895","9,095",625,859,"1,050","1,107","1,190","1,170",799,18-19,2019,12
Southeastern,FL,"15,057","8,618",583,856,"1,005","1,056","1,093","1,074",772,17-18,2018,12
Southeastern,FL,"14,633","8,501",654,852,916,990,942,954,824,16-17,2017,12
Southeastern,FL,"13,276","8,077",631,810,899,929,872,676,382,15-16,2016,12
Southeastern,FL,"12,505","7,572",622,801,862,821,827,596,404,14-15,2015,12
Southeastern,FL,"11,982","7,130",659,754,833,810,772,568,456,13-14,2014,12
Southeastern,FL,"11,924","6,705",694,786,850,906,799,612,572,13-Dec,2013,12
Southeastern,FL,"11,721","6,444",645,857,798,920,836,636,585,12-Nov,2012,12
Southeastern,FL,"11,571","6,445",600,908,873,846,814,548,537,11-Oct,2011,12
Southeastern,FL,"10,856","5,872",683,801,960,788,779,523,450,10-Sep,2010,12
Southeastern,FL,"10,340","5,511",624,812,927,875,723,554,314,9-Aug,2009,12
Southeastern,FL,"10,708",5469,710,903,944,978,769,593,342,8-Jul,2008,12
Southeastern,FL,"10,180",4999,643,932,927,931,835,586,327,7-Jun,2007,12
Southeastern,GA,"2,215",662,193,255,269,277,246,202,111,23-24,2024,13
Southeastern,GA,"2,151",662,177,261,253,261,243,173,121,22-23,2023,13
Southeastern,GA,"2,078",515,187,262,272,256,252,194,140,21-22,2022,13
